source,name,category,average_rating,review_count,price_range,latitude,longitude,description,url,page_offset
TripAdvisor,Ayala Center Cebu,Shopping Malls,4.3,1846,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1475801-Reviews-Ayala_Center_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Basilica del Santo Niño,Speciality Museums • Religious Sites,4.3,2178,,,,This famous church dates back to the early Spanish colonial era. The Church was founded by the Augustinian friars since their arrival in 1565. You could also find in the church the miraculous image…,https://www.tripadvisor.com/Attraction_Review-g298460-d320854-Reviews-Basilica_del_Santo_Nino-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Taoist Temple,Religious Sites,4.1,1513,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1484752-Reviews-Taoist_Temple-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Tops Lookout,Observation Decks & Towers,4.1,1032,,,,This property is temporary closed,https://www.tripadvisor.com/Attraction_Review-g298460-d1784733-Reviews-Tops_Lookout-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Casa Gorordo Museum,Speciality Museums,4.6,625,,,,"Casa Gorordo is a house museum located in the historic Parian district of Cebu, the oldest city in the Philippines. Built in the 1850's, it lived through several important social changes that shaped…",https://www.tripadvisor.com/Attraction_Review-g298460-d320857-Reviews-Casa_Gorordo_Museum-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Magellan's Cross,Historic Sites,3.8,1849,,,,This is the spot where Ferdinand Magellan planted a cross in the soil in 1521 and claimed the Philippines for Spain.,https://www.tripadvisor.com/Attraction_Review-g298460-d320852-Reviews-Magellan_s_Cross-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Sirao Pictoral Garden,Gardens,3.9,301,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d11759529-Reviews-Sirao_Pictoral_Garden-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Cebu Ocean Park - Cebu,Amusement & Theme Parks • Aquariums,4.6,111,,,,"We are the largest Oceanarium in the Philippines aiming to provide both our visitors and community a unique marine-life experience to achieve our dream to educate, conserve and inspire. What drives…",https://www.tripadvisor.com/Attraction_Review-g298460-d16717756-Reviews-Cebu_Ocean_Park_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,SM Seaside City Cebu,Shopping Malls,4.0,312,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d8853837-Reviews-SM_Seaside_City_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Fort San Pedro,Historic Sites,3.8,1343,,,,This fort was built in the early 1700s to protect against Muslim raids.,https://www.tripadvisor.com/Attraction_Review-g298460-d320853-Reviews-Fort_San_Pedro-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Temple of Leah,Monuments & Statues,3.6,638,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7396423-Reviews-Temple_of_Leah-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Taboan Public Market,Flea & Street Markets,3.9,120,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1818289-Reviews-Taboan_Public_Market-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Sugbo Mercado,Points of Interest & Landmarks,4.4,114,,,,"“The Biggest Weekend Food Market In Cebu” Sugbo Mercado opened on September 25, 2015, with the goal of being the first and biggest year-round weekly food market in Cebu and as a venue for the best…",https://www.tripadvisor.com/Attraction_Review-g298460-d9885785-Reviews-Sugbo_Mercado-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Mountain View Nature's Park,Water Parks,4.0,212,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2103326-Reviews-Mountain_View_Nature_s_Park-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Yap Sandiego Ancestral House,Historic Sites,4.2,577,,,,One of the oldest residential structure in the Philippines.,https://www.tripadvisor.com/Attraction_Review-g298460-d1520123-Reviews-Yap_Sandiego_Ancestral_House-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Robinsons Galleria Cebu,Department Stores • Shopping Malls,4.1,119,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d9716443-Reviews-Robinsons_Galleria_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Colon Street,Historic Sites,3.3,623,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2086858-Reviews-Colon_Street-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Carmelite Monastery Cebu City,Religious Sites,4.7,71,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d3534460-Reviews-Carmelite_Monastery_Cebu_City-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Heritage Of Cebu Monument,Monuments & Statues,3.9,335,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2559471-Reviews-Heritage_Of_Cebu_Monument-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,University of San Carlos Museum,History Museums,4.4,235,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d12176379-Reviews-University_of_San_Carlos_Museum-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Jumalon Butterfly Sanctuary,Nature & Wildlife Areas,4.1,108,,,,See rare butterflies at the only park of its kind in the Philippines.,https://www.tripadvisor.com/Attraction_Review-g298460-d320855-Reviews-Jumalon_Butterfly_Sanctuary-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Casino Filipino,Casinos,3.4,121,,,,"Over four hundred slot machines, over sixty table games and seven restaurants make Casino Filipino a popular gaming destination.",https://www.tripadvisor.com/Attraction_Review-g298460-d320843-Reviews-Casino_Filipino-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Cebu Metropolitan Cathedral,Religious Sites,4.3,175,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1488648-Reviews-Cebu_Metropolitan_Cathedral-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Chapel of San Pedro Calungsod,Religious Sites,4.3,136,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d5566780-Reviews-Chapel_of_San_Pedro_Calungsod-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Museo Sugbo,Speciality Museums,4.2,229,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1806181-Reviews-Museo_Sugbo-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,1730 Jesuit House,Historic Sites,4.4,183,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2233349-Reviews-1730_Jesuit_House-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Sinulog Festival,Cultural Events,4.2,28,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10020460-Reviews-Sinulog_Festival-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Fuente Osmena,Points of Interest & Landmarks,3.4,227,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d4305640-Reviews-Fuente_Osmena-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Parkmall,Shopping Malls,3.7,39,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10536607-Reviews-Parkmall-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Mt. Naupa,Mountains,4.7,16,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7578308-Reviews-Mt_Naupa-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Mango Square Mall,Shopping Malls,3.6,34,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10408637-Reviews-Mango_Square_Mall-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Marcelo Fernan Bridge,Bridges,3.6,348,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2369533-Reviews-Marcelo_Fernan_Bridge-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Terrazas de Flores,Gardens,4.1,33,,,,"Terrazas de Flores is a flower terraces botanical garden in Malubog, shortly after Busay and approximately 15 minutes away from Cebu IT Park. Proudly a Cebuano work of art, the garden was built by…",https://www.tripadvisor.com/Attraction_Review-g298460-d12408472-Reviews-Terrazas_de_Flores-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Mt. Kan-Irag,Mountains,4.7,9,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7398578-Reviews-Mt_Kan_Irag-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Durano Eco Farm & Spring Resort,Hot Springs & Geysers,3.6,25,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7398871-Reviews-Durano_Eco_Farm_Spring_Resort-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Ogtong Cave Resort,Beaches • Beach & Pool Clubs,3.5,35,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7813022-Reviews-Ogtong_Cave_Resort-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Guadalupe Cave,Caverns & Caves,3.9,17,,,,This religious site is said to have healing powers.,https://www.tripadvisor.com/Attraction_Review-g298460-d320856-Reviews-Guadalupe_Cave-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Sachiko's Little Kyoto,Gardens,4.2,6,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d25111361-Reviews-Sachiko_s_Little_Kyoto-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Esoy Hot Spring,Hot Springs & Geysers,3.7,28,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d3685101-Reviews-Esoy_Hot_Spring-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Cebu City Sports Center,Arenas & Stadiums,4.1,8,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10727009-Reviews-Cebu_City_Sports_Center-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Gaisano Country Mall,Shopping Malls,3.4,36,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d9766568-Reviews-Gaisano_Country_Mall-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Mainit Spring,Bodies of Water,3.9,35,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7234677-Reviews-Mainit_Spring-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Beverly View Events Pavilion,Scenic Walking Areas,4.5,11,,,,"Beverly View is an exclusive events glass garden pavilion in a relaxing mountain ambiance nestled on top of Beverly Hills. Private, safe and secured located only 10 minutes away drive from the Waterfront…",https://www.tripadvisor.com/Attraction_Review-g298460-d9875107-Reviews-Beverly_View_Events_Pavilion-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Nustar Mall,Casinos • Shopping Malls,4.4,5,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d27413579-Reviews-Nustar_Mall-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Celestial Garden,Gardens,3.9,16,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1806185-Reviews-Celestial_Garden-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Budlaan Falls,Waterfalls,3.4,8,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d9681281-Reviews-Budlaan_Falls-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Plaza Independencia,Historic Sites • Parks,3.9,37,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1806266-Reviews-Plaza_Independencia-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,National Museum Of The Philippines - Cebu,History Museums,4.5,4,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d28097797-Reviews-National_Museum_Of_The_Philippines_Cebu-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Sirao Pictorial Garden,Gardens,4.0,9,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d11916908-Reviews-Sirao_Pictorial_Garden-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Cebu Zoo,Zoos,2.9,96,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2514934-Reviews-Cebu_Zoo-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Basilica Minore del Sto. Niño de Cebu,Churches & Cathedrals,4.4,14,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d15277238-Reviews-Basilica_Minore_del_Sto_Nino_de_Cebu-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Basilica Del Santo Nino Museum,Speciality Museums,4.0,75,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d8744343-Reviews-Basilica_Del_Santo_Nino_Museum-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,OceanJet,Ferries,2.5,275,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d11965527-Reviews-OceanJet-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Archdiocesan Museum Of Cebu,Speciality Museums,3.7,59,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d3604641-Reviews-Archdiocesan_Museum_Of_Cebu-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Santo Rosario Parish Church,Churches & Cathedrals,4.4,17,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10436062-Reviews-Santo_Rosario_Parish_Church-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Kartzone,Game & Entertainment Centers,4.1,17,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d9820670-Reviews-Kartzone-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Panndanon Island,Islands,4.1,72,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d8070730-Reviews-Panndanon_Island-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Maravillosa Park,Beaches,4.1,7,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d8064544-Reviews-Maravillosa_Park-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,SM City Cebu,Speciality & Gift Shops,4.0,722,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1480865-Reviews-SM_City_Cebu-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,Rizaliana Museum,Speciality Museums,4.5,4,,,,This museum honors the life of Dr. Jose Rizal.,https://www.tripadvisor.com/Attraction_Review-g298460-d320859-Reviews-Rizaliana_Museum-Cebu_City_Cebu_Island_Visayas.html,30
TripAdvisor,APM Malls Cebu,Shopping Malls,3.0,4,,,,APM Malls consists of two establishments namely APM Centrale and APM Shopping Mall which offers variety of choices for shopping trendy travel outfits or high fashioned items with a very affordable…,https://www.tripadvisor.com/Attraction_Review-g298460-d12298043-Reviews-APM_Malls_Cebu-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Fo Guang Shan Chu Un Temple,Points of Interest & Landmarks,3.9,20,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d4757330-Reviews-Fo_Guang_Shan_Chu_Un_Temple-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Paulina Constancia Museum of Naive Art,Speciality Museums • Art Museums,4.7,6,,,,"The Paulina Constancia Museum of Naive Art [MoNA] is part of West Gorordo Hotel’s Cultural Stewardship Program. It is a means to showcase, share and protect local art and culture. Through the Museum…",https://www.tripadvisor.com/Attraction_Review-g298460-d10066503-Reviews-Paulina_Constancia_Museum_of_Naive_Art-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Tops Cebu,Points of Interest & Landmarks • Observation Decks & Towers,3.8,4,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d33242741-Reviews-Tops_Cebu-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cheeva Spa,Spas,4.7,68,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d15771097-Reviews-Cheeva_Spa-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Raintree Mall,Shopping Malls,3.5,2,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d13432429-Reviews-Raintree_Mall-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Kabang Waterfalls,Waterfalls,4.2,11,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7602074-Reviews-Kabang_Waterfalls-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,BPI Museum,Speciality Museums,4.2,6,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d12110177-Reviews-BPI_Museum-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cebu Provincial Capitol,Government Buildings,3.4,13,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d12180279-Reviews-Cebu_Provincial_Capitol-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Christmas Village Of Love Cebu,Cultural Events,5.0,2,,,,The Christmas Village of Love in Cebu was initially called the Christmas Village of Hope. It was first conceptualized by couples Clayton and Joji Tugonon. Clayton was one of Cebu’s gems being a sought…,https://www.tripadvisor.com/Attraction_Review-g298460-d25321993-Reviews-Christmas_Village_Of_Love_Cebu-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Hilutungan Island,Islands,3.3,3,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10664994-Reviews-Hilutungan_Island-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Philippine Chinese Spiritual Temple,Points of Interest & Landmarks,3.7,6,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d12839825-Reviews-Philippine_Chinese_Spiritual_Temple-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Atua Midtown,Speciality & Gift Shops • Art Galleries,5.0,6,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d32880527-Reviews-Atua_Midtown-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Senior Citizens Park,Parks • Churches & Cathedrals,3.3,23,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d3878967-Reviews-Senior_Citizens_Park-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,The Spa At Radisson Blu Cebu,Spas,4.8,136,,,,"At The Spa At Radisson Blu, we offer a range of holistic relaxation treatments to release tension, soothe the mind, energize the body and uplift the spirit to help you escape, reboot and recover.",https://www.tripadvisor.com/Attraction_Review-g298460-d7694896-Reviews-The_Spa_At_Radisson_Blu_Cebu-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Alta Vista Golf & Country Club,Golf Courses,4.0,36,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2454250-Reviews-Alta_Vista_Golf_Country_Club-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cebu City Museum,Art Museums,3.2,5,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d14141887-Reviews-Cebu_City_Museum-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cebu Botanical Garden,Gardens,3.0,9,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1806184-Reviews-Cebu_Botanical_Garden-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Robinsons Movieworld,Theaters,2.3,3,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d9871755-Reviews-Robinsons_Movieworld-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Mandaue-Mactan Bridge,Bridges,3.2,13,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10593072-Reviews-Mandaue_Mactan_Bridge-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cebu Archdiocesan Shrine of Saint Pedro Calungsod,Religious Sites,5.0,2,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d12845348-Reviews-Cebu_Archdiocesan_Shrine_of_Saint_Pedro_Calungsod-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Magellan's Park,Parks,3.8,4,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10200751-Reviews-Magellan_s_Park-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Ayala Center Cebu Cinemas,Movie Theaters,4.0,227,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d2044424-Reviews-Ayala_Center_Cebu_Cinemas-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Cebu City Philippines Temple,Religious Sites,3.3,3,,,,"*Please visit the temple website for open hours and appointments.* Temples of The Church of Jesus Christ of Latter-day Saints are considered houses of God, a place of holiness and peace separate from…",https://www.tripadvisor.com/Attraction_Review-g298460-d12178713-Reviews-Cebu_City_Philippines_Temple-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Banilad Sports Club,Sports Complexes,2.8,8,,,,"Unique in Cebu, the Banilad Sports Club is a non-membership leisure place that offers you a chance to relax, drink at our famous Sandtrap bar, alfresco dining, watch favorite sports, play tennis or…",https://www.tripadvisor.com/Attraction_Review-g298460-d8073441-Reviews-Banilad_Sports_Club-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Emall,Department Stores • Shopping Malls,5.0,1,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d21408379-Reviews-Emall-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Malacanan Sa Sugbu,Government Buildings,3.1,18,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d3903225-Reviews-Malacanan_Sa_Sugbu-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,St. Joseph Chaplaincy,Churches & Cathedrals,4.5,2,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d10198162-Reviews-St_Joseph_Chaplaincy-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Howling Dogs Sports Grill,Bars & Clubs,4.2,12,,,,"Howling Dogs Sports Grill is the #1 sports/good times bar in Cebu City. We offer live bands every night, any sport you want to see on any of our 7 enormous flat screens, great food, and the coldest…",https://www.tripadvisor.com/Attraction_Review-g298460-d16802075-Reviews-Howling_Dogs_Sports_Grill-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,TIEZA Botanical Garden,Gardens,4.0,1,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d13170868-Reviews-TIEZA_Botanical_Garden-Cebu_City_Cebu_Island_Visayas.html,60
TripAdvisor,Sugbu Chinese Heritage Museum,History Museums,3.0,1,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d28191109-Reviews-Sugbu_Chinese_Heritage_Museum-Cebu_City_Cebu_Island_Visayas.html,90
TripAdvisor,Aloha Mana Spa & Cafe,Spas,5.0,27,,,,"Aloha Mana Spa & Cafe offers a relaxing and affordable quality massage services with accredited massage therapist. Inspired by the cool ocean breeze and luscious greens of the tropics, Aloha Mana …",https://www.tripadvisor.com/Attraction_Review-g298460-d15337153-Reviews-Aloha_Mana_Spa_Cafe-Cebu_City_Cebu_Island_Visayas.html,90
TripAdvisor,Healing Point Massage,Spas,4.4,41,,,,A clean massage shop with well experienced massuese that offers Foot & Body Massage for a very affordable price.,https://www.tripadvisor.com/Attraction_Review-g298460-d10403314-Reviews-Healing_Point_Massage-Cebu_City_Cebu_Island_Visayas.html,90
